. Carl Johann Greith (1807-1882).jpg	Leuk2 | Wikimedia Commons | CC BY-SA 3.0
. Eckard Schrader's Portrait-Fotografie des Bildhauers WP Eberhard Eggers.jpg	Eckard Schrader | Wikimedia Commons | CC BY-SA 4.0
.00 2522 Schloss Sanssouci in Potsdam.jpg	W. Bulach | Wikimedia Commons | CC BY-SA 4.0
.00 2568 Views of Flensburg.jpg	W. Bulach | Wikimedia Commons | CC BY-SA 4.0
0 'Le maréchal de Villars' - Rigaud - Vaux-le-Vicomte.jpg	Hyacinthe Rigaud | Wikimedia Commons | Public domain
0 Constantinus I - Palazzo dei Conservatori (2).JPG	Wikimedia Commons | CC BY-SA 3.0
0 Gaius Flavius Valerius Constantinus, Palatino.jpg	Wilfredor | Wikimedia Commons | CC0
0 Jupiter - Louvre MR 254 - Louvre-Lens (2).JPG	Jean-Pol GRANDMONT | Wikimedia Commons | CC BY 3.0
0 Versailles musée de l'Histoire de France - Portrait de la comtesse Du Barry en Flore - F-H Drouais (1).JPG	Jean-Pol GRANDMONT | Wikimedia Commons | CC BY 4.0
00 0595 Kloster Engelberg - Kanton Obwalden.jpg	W. Bulach | Wikimedia Commons | CC BY-SA 4.0
00 1438 Abteikirche Maria Laach.jpg	W. Bulach | Wikimedia Commons | CC BY-SA 4.0
00 1566 Villa Vopelius - Evangelische Akademie Bad Boll.jpg	W. Bulach | Wikimedia Commons | CC BY-SA 4.0
00 3363 Bamberg - Dom (Riemenschneideraltar).jpg	W. Bulach | Wikimedia Commons | CC BY-SA 4.0
00 3705 Bamberg - Villa Concordia.jpg	W. Bulach | Wikimedia Commons | CC BY-SA 4.0
00 3707 Bamberg - Villa Concordia.jpg	W. Bulach | Wikimedia Commons | CC BY-SA 4.0
00 7432 Marstall des Schlosses Eutin - Landesbibliothek Eutin.jpg	W. Bulach | Wikimedia Commons | CC BY-SA 4.0
00 8269 Dresden - Denkmal König Friedrich II.jpg	W. Bulach | Wikimedia Commons | CC BY-SA 4.0
00 JMajia IMG 0562.jpg	Kontrola | Wikimedia Commons | CC BY-SA 4.0
00 czyzewski krzysztof.jpg	Kontrola | Wikimedia Commons | CC BY-SA 4.0
00. Marca UNAV negro 24.png	Archivo Fotográfico Universidad de Navarra | Wikimedia Commons | CC BY-SA 4.0
0U9A9011x.jpg	Jziegner | Wikimedia Commons | CC BY-SA 4.0
